product_name,gst,hsn_code,company
POLY BOND SUPER WHITE INK 1 KG,12 %,32151140,Shree Graphics
POLYSTER MESH 48.55165CM WHITE,12 %,59112000,Shree Graphics
PREMIUM PHOTO GLOSSY INK JET PAPERA4-50SH W/O BP PO,12 %,48101490,Shree Graphics
PREMUM PHOTO GLOSSY INK JET PAPER 180GSM4X6100SHW/O,12 %,48101490,Shree Graphics
PRINTING PAPER A/4-48025690,12 %,48025690,Shree Graphics
PVC INK LEMON YELLOW 200 GR,12 %,32151140,Shree Graphics
PVC INK LEMON YELLOW 500 GR,12 %,32151140,Shree Graphics
PVC INK MAGENTA 200 GR,12 %,32151140,Shree Graphics
PVC INK MAGENTA 500 GR,12 %,32151140,Shree Graphics
PVC INK MAROON 1 KG,12 %,32151140,Shree Graphics
PVC INK MAROON 200 GR,12 %,32151140,Shree Graphics
PVC INK MARROON 500 GR,12 %,32151140,Shree Graphics
PVC INK MAT WHITE 1 KG,12 %,32151140,Shree Graphics
PVC INK MEHANDI GREEN 1 KG,12 %,32151140,Shree Graphics
PVC INK MEHANDI GREEN 200 GR,12 %,32151140,Shree Graphics
PVC INK MEHANDI GREEN 500 GR,12 %,32151140,Shree Graphics
PVC INK ORANGE 1 KG,12 %,32151140,Shree Graphics
PVC INK ORANGE 200 GR,12 %,32151140,Shree Graphics
PVC INK ORANGE 500 GR,12 %,32151140,Shree Graphics
PVC INK PEACOCK BLUE 1 KG,12 %,32151140,Shree Graphics
PVC INK PEACOCK BLUE 200 GR,12 %,32151140,Shree Graphics
PVC INK PEACOCK BLUE 500 GR,12 %,32151140,Shree Graphics
PVC INK POLYBOND PARACHUTE GREEN 1 KG,12 %,32151140,Shree Graphics
PVC INK PO RED 1 KG,12 %,32151140,Shree Graphics
PVC INK PO RED 500 GR,12 %,32151140,Shree Graphics
PVC INK SILVER 1 KG (LIPI),12 %,32151140,Shree Graphics
PVC INK SILVER 500 GR (LIPI),12 %,32151140,Shree Graphics
PVC INK SUPER WHITE 1 KG,12 %,32151140,Shree Graphics
PVC INK SUPER WHITE 200 GR,12 %,32151140,Shree Graphics
PVC INK TURQ BLUE 1 KG,12 %,32151140,Shree Graphics
PVC INK TURQ BLUE 500 GR,12 %,32151140,Shree Graphics
PVC INK TURQUISE BLUE 200 GR,12 %,32151140,Shree Graphics
PVC INK UB BLUE 1 KG,12 %,32151140,Shree Graphics
PVC INK UB BLUE 200 GR,12 %,32151140,Shree Graphics
PVC INK UB BLUE 500 GR,12 %,32151140,Shree Graphics
PVC INK ULTRA BLUE 1 KG,12 %,32151140,Shree Graphics
PVC INK ULTRA BLUE 200 GR,12 %,32151140,Shree Graphics
PVC INK ULTRA BLUE 500 GR,12 %,32151140,Shree Graphics
PVC INK VIOLET 1 KG,12 %,32151140,Shree Graphics
PVC INK VIOLET 500 GR,12 %,32151140,Shree Graphics
PVC MAT GOLDER YELLOW 1 KG,12 %,32151140,Shree Graphics
PVC MATINK POLUBOND GREEN 1 KG,12 %,32151140,Shree Graphics
PVC MAT INK WHITE 1 KG,12 %,32151140,Shree Graphics
PVC MATT INK BLACK 1 KG,12 %,32151140,Shree Graphics
PVC MATT INK BRILLIANT RED 1 KG,12 %,32151140,Shree Graphics
PVC MATT INK ECO TONED WHITE 1 KG,12 %,32151140,Shree Graphics
PVC MATT INK INDIA BLUE 1 KG,12 %,32151140,Shree Graphics
PVC MATT INK LEMON YELLOW 1 KG,12 %,32151140,Shree Graphics
PVC MATT WHITE,12 %,32151910,Shree Graphics
PVC SUPER WHITE500GRM,12 %,32151140,Shree Graphics
R/70WHITE-COATED PAPERS,12 %,48025790,Shree Graphics
ROYALE EX BOND PAPER A4 75 GSM (500),12 %,48025790,Shree Graphics
ROYAL EX BOND PAPER A4 100 GSM (500),12 %,48025790,Shree Graphics
